MigsPlWastewaterSludge	MIXS:0010004_0016013	None with environmental package None	WastewaterSludge	MigsPl
MigsViWastewaterSludge	MIXS:0010005_0016013	None with environmental package None	WastewaterSludge	MigsVi
MimagWastewaterSludge	MIXS:0010011_0016013	None with environmental package None	WastewaterSludge	Mimag
MimarksCWastewaterSludge	MIXS:0010009_0016013	None with environmental package None	WastewaterSludge	MimarksC
MimarksSWastewaterSludge	MIXS:0010008_0016013	None with environmental package None	WastewaterSludge	MimarksS
MimsWastewaterSludge	MIXS:0010007_0016013	None with environmental package None	WastewaterSludge	Mims
MisagWastewaterSludge	MIXS:0010010_0016013	None with environmental package None	WastewaterSludge	Misag
MiuvigWastewaterSludge	MIXS:0010012_0016013	None with environmental package None	WastewaterSludge	Miuvig
MigsBaWater	MIXS:0010003_0016014	None with environmental package None	Water	MigsBa
MigsEuWater	MIXS:0010002_0016014	None with environmental package None	Water	MigsEu
MigsOrgWater	MIXS:0010006_0016014	None with environmental package None	Water	MigsOrg
MigsPlWater	MIXS:0010004_0016014	None with environmental package None	Water	MigsPl
MigsViWater	MIXS:0010005_0016014	None with environmental package None	Water	MigsVi
MimagWater	MIXS:0010011_0016014	None with environmental package None	Water	Mimag
MimarksCWater	MIXS:0010009_0016014	None with environmental package None	Water	MimarksC
MimarksSWater	MIXS:0010008_0016014	None with environmental package None	Water	MimarksS
MimsWater	MIXS:0010007_0016014	None with environmental package None	Water	Mims
MisagWater	MIXS:0010010_0016014	None with environmental package None	Water	Misag
MiuvigWater	MIXS:0010012_0016014	None with environmental package None	Water	Miuvig
