Value syntax	term count
{dna}	1
{dna};{dna}	1
initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	1
[none|manually edited]	1
[16S rRNA gene|multi-marker approach|other]	1
[Finished genome|High-quality draft genome|Medium-quality draft genome|Low-quality draft genome|Genome fragment(s)]	1
{database};{version};{reference}	1
[high|med|low];{percentage}	1
{software};{version}	1
[marker gene|reference based|other]	1
[reads| contigs]	1
[ref db|kmer|coverage|combination];{text|integer}	1
[checkm/refinem|anvi'o|prodege|bbtools:decontaminate.sh|acdc|combination]	1
[flow cytometric cell sorting|microfluidics|lazer-tweezing|optical manipulation|micromanipulation|other]	1
[chemical|enzymatic|physical|combination]	1
[Basement|Chalk|Chert|Coal|Conglomerate|Diatomite|Dolomite|Limestone|Sandstone|Shale|Siltstone|Volcanic|other]	1
[bedroom|office|bathroom|foyer|kitchen|locker room|hallway|elevator]	1
[best by|best if used by|freeze by||use by]; date	1
[crows feet|crows-foot stomp|double skip|hawk and trowel|knockdown|popcorn|orange peel|rosebud stomp|Santa-Fe texture|skip trowel|smooth|stomp knockdown|swirl]	1
[dissemination|growth and reproduction|infection|inoculation|penetration|other]	1
[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	1
[drought|dust storm|extreme cold|extreme heat|flood|frost|hail|high precipitationhigh winds]	1
[drum and drain|manual spinner|rinsed with sanitizer solution|rinsed with water|scrubbed with brush|scrubbed with hand|soaking]	1
[drywall|mineral fibre|tiles|PVC|plasterboard|metal|fiberglass|stucco|mineral wool/calcium silicate|wood]	1
[dust|organic matter|particulate matter|volatile organic compounds|biological contaminants|radon|nutrients|biocides]	1
[edge of car|center of car|under a seat]	1
[end|mid|downtown]	1
[environmental:faecal-oral|transplacental|vector-borne:vector penetration]	1
[erect|semi-erect|spreading|prostrate]	1
[exterior|interior]	1
[facultative|obligate]	1
[family-specific|generalist||genus-specific|species-specific]	1
[female|hermaphrodite|male|neuter]	1
[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female) |undeclared]	1
[fountain|pool|standing feature|stream|waterfall]	1
[frame construction|joisted masonry|light noncombustible|masonry noncombustible|modified fire resistive|fire resistive]	1
[free living|parasite|commensal|symbiont]	1
[freshwater|brackish|saline|natural|manmade|estuary|lake|pond|canal|stream|river|melt pond|well|ditch|reservior|collected rainwater|municipal|storage tank]	1
[gas burning|wood burning]	1
{text} [NCBI:txid]	1
[intermittent moisture|not present|submerged]	1
[intracellular|extracellular|not determined]	1
[inward|outward|sideways]	1
[Lacustine|Fluvioldeltaic|Fluviomarine|Marine|other]	1
[left|middle|right]	1
[left|right|ambidextrous]	1
[damaged|new|rupture|visible signs of mold-mildew|visible weariness repair]	1
[crows feet|crows-foot stomp||double skip|hawk and trowel|knockdown|popcorn|orange peel|rosebud stomp|Santa-Fe texture|skip trowel|smooth|stomp knockdown|swirl]	1
[bettened and ledged|battened|ledged and braced|battened|ledged and framed|battened|ledged, braced and frame|framed and paneled|glashed or sash|flush|louvered|wire gauged]	1
[crawlspace|slab on grade|basement]	1
[biogenous|cosmogenous|hydrogenous|lithogenous]	1
[blinds|curtains|none]	1
[bottle|cooler|glass vial|plastic vial||vendor supplied container]	1
[bottom|middle|top|low|middle|high]	1
[building information model|commissioning report|complaint logs|contract administration|cost estimate|janitorial schedules or logs|maintenance plans|schedule|sections|shop drawings|submittals|ventilation system|windows]	1
[building|shed|home]	1
[cabinet|ceiling|counter top|door|shelving|vent cover|window|wall]	1
[cabinet|chair|desks]	1
[castrated female|castrated male|intact female|intact male]	1
[cat|dog|rodent|snake|other];{integer}	1
[cathedral|dropped|concave|barrel-shaped|coffered|cove|stretched]	1
[cheeses-other than hard cheeses|cucumbers|crustaceans|finfish-including smoked finfish|fruits and vegetables-fresh cut|herbs-fresh|leafy greens-including fresh cut leafy greens|melons|mollusks-bivalves|nut butter|peppers|ready to eat deli salads|sprouts|tomatoes|tropical tree fruits|shell eggs]	1
[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]	1
[clad|fiberglass|metal|vinyl|wood]	1
[Clastic|Carbonate|Coal|Biosilicieous|other]	1
[clay|clay loam|loam|loamy sand|sand|sandy clay|sandy clay loam|sandy loam|silt|silty clay|silty clay loam|silt loam]	1
[clean catch|catheter]	1
[clear sky|cloudy|foggy|hail|rain|snow|sleet|sunny|windy]	1
[closed|open]	1
[collapsible|corrugated steel|hollow|rolling shutters|steel plate]	1
[collapsible|folding|revolving|rolling shutter|sliding|swinging]	1
[commensalistic|mutualistic|parasitic]	1
[complex life cycle | simple life cycle]	1
[composite|metal|wooden]	1
[conductive|radiant]	1
[Continental - Alluvial|Continental - Aeolian|Continental - Fluvial|Continental - Lacustrine|Transitional - Deltaic|Transitional - Tidal|Transitional - Lagoonal|Transitional - Beach|Transitional - Lake|Marine - Shallow|Marine - Deep|Marine - Reef|Other - Evaporite|Other - Glacial|Other - Volcanic|other]	1
[corner room|interior room|exterior wall]	1
YYYY-MM-DD	1
