class	Structured comment name	Preferred unit	Frequency
sediment	tot_nitro_content	microgram per liter, micromole per liter, milligram per liter	0.75
soil	tot_nitro_content	microgram per liter, micromole per liter, milligram per liter	0.75
food-farm environment	tot_nitro_content	milligrams Nitrogen per kilogram of soil	0.25
microbial mat/biofilm	turbidity	formazin turbidity unit, formazin nephelometric units	0.5
sediment	turbidity	formazin turbidity unit, formazin nephelometric units	0.5
food-farm environment	turbidity	formazin turbidity unit, formazin nephelometric units, nephelometric turbidity units	0.5
water	turbidity	formazin turbidity unit, formazin nephelometric units, nephelometric turbidity units	0.5
food-farm environment	wind_direction	degrees or cardinal direction	0.5
air	wind_direction		0.5
food-farm environment	wind_speed	kilometer per hour	0.5
air	wind_speed	meter per second, kilometer per hour	0.5
