name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
number_pets	number of pets	MIXS:0000231		The number of pets residing in the sampled space			number			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
number_plants	number of houseplants	MIXS:0000230		The number of plant(s) in the sampling space			number			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
number_resident	number of residents	MIXS:0000232		The number of individuals currently occupying in the sampling location			number			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
occup_density_samp	occupant density at sampling	MIXS:0000217		Average number of occupants at time of sampling per square footage	{'value': '0.1'}		density			float		True				
occup_document	occupancy documentation	MIXS:0000816		The type of documentation of occupancy	{'value': 'estimate'}		documentation			OccupDocumentEnum						
occup_samp	occupancy at sampling	MIXS:0000772		Number of occupants present at time of sample within the given space	{'value': '10'}					float		True		{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
organism_count	organism count	MIXS:0000103		Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	{'value': 'total prokaryotes;3.5e7 cells per milliliter;qPCR'}		count|organism	True		string		True	{text};{float} {unit};[ATP|MPN|qPCR|other]		organism name;measurement value;enumeration	
pres_animal_insect	presence of pets, animals, or insects	MIXS:0000819		The type and number of animals or insects present in the sampling space	{'value': 'cat;5'}		animal|presence			string			[cat|dog|rodent|snake|other];{integer}		enumeration;count	
project_name	project name	MIXS:0000092		Name of the project within which the sequencing was organized	{'value': 'Forest soil metagenome'}	investigation	project			string		True				
quad_pos	quadrant position	MIXS:0000820		The quadrant position of the sampling room within the building	{'value': 'West side'}					QuadPosEnum						
rel_air_humidity	relative air humidity	MIXS:0000121	percent or float?	Partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air	{'value': '0.8'}		air|humidity|relative			float		True		{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		percentage
rel_humidity_out	outside relative humidity	MIXS:0000188		The recorded outside relative humidity value at the time of sampling	{'value': '12 per kilogram of air'}		humidity|relative			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram of air, kilogram of air
rel_samp_loc	relative sampling location	MIXS:0000821		The sampling location within the train car	{'value': 'center of car'}		location|relative			RelSampLocEnum						
room_air_exch_rate	room air exchange rate	MIXS:0000169		The rate at which outside air replaces indoor air in a given space			air|rate|room			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		liter per hour
room_architec_elem	room architectural elements	MIXS:0000233		The unique details and component parts that, together, form the architecture of a distinguishable space within a built structure			room			string						
room_condt	room condition	MIXS:0000822		The condition of the room at the time of sampling	{'value': 'new'}		condition|room			RoomCondtEnum						
room_connected	rooms connected by a doorway	MIXS:0000826		List of rooms connected to the sampling room by a doorway	{'value': 'office'}		doorway|room			RoomConnectedEnum						
room_count	room count	MIXS:0000234		The total count of rooms in the built structure including all room types			count|room			integer						
room_dim	room dimensions	MIXS:0000192		The length, width and height of sampling room	{'value': '4 meter x 4 meter x 4 meter'}		dimensions|room			string			{integer} {unit} x {integer} {unit} x {integer} {unit}		measurement value	meter
room_door_dist	room door distance	MIXS:0000193		Distance between doors (meters) in the hallway between the sampling room and adjacent rooms			distance|door|room			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		meter
room_door_share	rooms that share a door with sampling room	MIXS:0000242		List of room(s) (room number, room name) sharing a door with the sampling room			door|room			string				{'syntax': '^{room_name};{room_number}$', 'interpolated': True, 'partial_match': True}		
room_hallway	rooms that are on the same hallway	MIXS:0000238		List of room(s) (room number, room name) located in the same hallway as sampling room			hallway|room			string				{'syntax': '^{room_name};{room_number}$', 'interpolated': True, 'partial_match': True}		
room_loc	room location in building	MIXS:0000823		The position of the room within the building	{'value': 'interior room'}		location|room			RoomLocEnum						
room_moist_dam_hist	room moisture damage or mold history	MIXS:0000235		The history of moisture damage or mold in the past 12 months. Number of events of moisture damage or mold observed			history|moisture|room			integer						
room_net_area	room net area	MIXS:0000194		The net floor area of sampling room. Net area excludes wall thicknesses			area|room			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		square feet, square meter
room_occup	room occupancy	MIXS:0000236		Count of room occupancy at time of sampling			room			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
