enum	permissible_value	meaning	description	comments	suspect	single	in_subset
CeilTypeEnum	stretched				FALSE	FALSE	packages_tab_no_conflict
CeilWaterMoldEnum	no presence of mold visible				FALSE	FALSE	packages_tab_no_conflict
CeilWaterMoldEnum	presence of mold visible				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	absent				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	active				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	inactive				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	negative				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	no				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	positive				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	present				FALSE	FALSE	packages_tab_no_conflict
CultResultEnum	yes				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Continental - Aeolian				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Continental - Alluvial				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Continental - Fluvial				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Continental - Lacustrine				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Marine - Deep				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Marine - Reef				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Marine - Shallow				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	other				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Other - Evaporite				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Other - Glacial				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Other - Volcanic				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Transitional - Beach				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Transitional - Deltaic				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Transitional - Lagoonal				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Transitional - Lake				FALSE	FALSE	packages_tab_no_conflict
DeposEnvEnum	Transitional - Tidal				FALSE	FALSE	packages_tab_no_conflict
DominantHandEnum	ambidextrous				FALSE	FALSE	packages_tab_no_conflict
DominantHandEnum	left				FALSE	FALSE	packages_tab_no_conflict
DominantHandEnum	right				FALSE	FALSE	packages_tab_no_conflict
DoorCompTypeEnum	metal covered				FALSE	FALSE	packages_tab_no_conflict
DoorCompTypeEnum	revolving				FALSE	FALSE	packages_tab_no_conflict
DoorCompTypeEnum	sliding				FALSE	FALSE	packages_tab_no_conflict
DoorCompTypeEnum	telescopic				FALSE	FALSE	packages_tab_no_conflict
DoorCondEnum	damaged				FALSE	FALSE	packages_tab_no_conflict
DoorCondEnum	needs repair				FALSE	FALSE	packages_tab_no_conflict
DoorCondEnum	new				FALSE	FALSE	packages_tab_no_conflict
DoorCondEnum	rupture				FALSE	FALSE	packages_tab_no_conflict
DoorCondEnum	visible wear				FALSE	FALSE	packages_tab_no_conflict
DoorDirectEnum	inward				FALSE	FALSE	packages_tab_no_conflict
DoorDirectEnum	outward				FALSE	FALSE	packages_tab_no_conflict
DoorDirectEnum	sideways				FALSE	FALSE	packages_tab_no_conflict
DoorLocEnum	east				FALSE	FALSE	packages_tab_no_conflict
DoorLocEnum	north				FALSE	FALSE	packages_tab_no_conflict
DoorLocEnum	south				FALSE	FALSE	packages_tab_no_conflict
DoorLocEnum	west				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	aluminum				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	cellular PVC				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	engineered plastic				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	fiberboard				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	fiberglass				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	metal				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	thermoplastic alloy				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	vinyl				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	wood				FALSE	FALSE	packages_tab_no_conflict
DoorMatEnum	wood/plastic composite				FALSE	FALSE	packages_tab_no_conflict
DoorMoveEnum	collapsible				FALSE	FALSE	packages_tab_no_conflict
DoorMoveEnum	folding				FALSE	FALSE	packages_tab_no_conflict
DoorMoveEnum	revolving				FALSE	FALSE	packages_tab_no_conflict
DoorMoveEnum	rolling shutter				FALSE	FALSE	packages_tab_no_conflict
DoorMoveEnum	sliding				FALSE	FALSE	packages_tab_no_conflict
DoorMoveEnum	swinging				FALSE	FALSE	packages_tab_no_conflict
DoorTypeEnum	composite				FALSE	FALSE	packages_tab_no_conflict
DoorTypeEnum	metal				FALSE	FALSE	packages_tab_no_conflict
DoorTypeEnum	wooden				FALSE	FALSE	packages_tab_no_conflict
DoorTypeMetalEnum	collapsible				FALSE	FALSE	packages_tab_no_conflict
DoorTypeMetalEnum	corrugated steel				FALSE	FALSE	packages_tab_no_conflict
DoorTypeMetalEnum	hollow				FALSE	FALSE	packages_tab_no_conflict
DoorTypeMetalEnum	rolling shutters				FALSE	FALSE	packages_tab_no_conflict
DoorTypeMetalEnum	steel plate				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	battened				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	bettened and ledged				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	flush				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	framed and paneled				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	glashed or sash				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	ledged and braced				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	ledged and framed				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	"ledged, braced and frame"				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	louvered				FALSE	FALSE	packages_tab_no_conflict
DoorTypeWoodEnum	wire gauged				FALSE	FALSE	packages_tab_no_conflict
DoorWaterMoldEnum	no presence of mold visible				FALSE	FALSE	packages_tab_no_conflict
DoorWaterMoldEnum	presence of mold visible				FALSE	FALSE	packages_tab_no_conflict
DrainageClassEnum	excessively drained				FALSE	FALSE	packages_tab_no_conflict
DrainageClassEnum	moderately well				FALSE	FALSE	packages_tab_no_conflict
DrainageClassEnum	poorly				FALSE	FALSE	packages_tab_no_conflict
DrainageClassEnum	somewhat poorly				FALSE	FALSE	packages_tab_no_conflict
