enum	permissible_values	suspect	single	source
trophic_level_enum	chemoautotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemoheterotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemolithoautotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemolithotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemoorganoheterotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemoorganotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemosynthetic	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	chemotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	copiotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	diazotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	facultative	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	heterotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	lithoautotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	lithoheterotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	lithotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	methanotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	methylotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	mixotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	obligate	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	oligotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	organoheterotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	organotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	photoautotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	photoheterotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	photolithoautotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	photolithotroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	photosynthetic	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
trophic_level_enum	phototroph	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	CsCl density gradient	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	DNAse	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	FeCl Precipitation	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	PEG Precipitation	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	RNAse	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	centrifugation	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	filtration	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	none	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	other	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	targeted sequence capture	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	ultracentrifugation	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
virus_enrich_appr_enum	ultrafiltration	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
wga_amp_appr_enum	mda based	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
wga_amp_appr_enum	pcr based	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_score_enum	{float} percentage	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
lat_lon_enum	{float} {float}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
alt_enum	{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
